id;fpath;sentence;remove_start;remove_end;removed;type;original_removetype;original_removetype_cast;short_sent;cons_score;ual;la
3212;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;Antiagregandid ( aspiriin , tiklopidiin , klopidogreel , dipüridamool ) aitavad sekundaarseks preventsiooniks nii suurte kui väikeste veresoonte kahjustusest põhjustatud VD korral .;110;179;nii suurte kui väikeste veresoonte kahjustusest põhjustatud VD korral;free;yes;free;Antiagregandid ( aspiriin , tiklopidiin , klopidogreel , dipüridamool ) aitavad sekundaarseks preventsiooniks .;92.9;100.0;92.9
3213;Train/aja_ee200110_osa_8_ud211.conllu;Diskoteek Patarei tegutses üheksakümnendate alguses Linnahalli ruumides , kuhu hiljem rajati reisiterminal .;52;106;Linnahalli ruumides , kuhu hiljem rajati reisiterminal;free;yes;free;Diskoteek Patarei tegutses üheksakümnendate alguses .;100.0;100.0;100.0
3214;Train/ilu_maailm_ud211.conllu;"644-st naastes ütles Kala : "" Jooga kaebas sinu peale .";43;53;sinu peale;bound;yes;free;"644-st naastes ütles Kala : "" Jooga kaebas .";88.9;100.0;88.9
3215;Dev/aja_ml200247_osa6_ud211.conllu;Autod tulevad ja kõmakad hakkavad käima õigel ajal .;40;50;õigel ajal;bound;yes;free;Autod tulevad ja kõmakad hakkavad käima .;100.0;100.0;100.0
3216;Train/tea_geofyysika.conllu;Neist kraadimõõtmistest suurima , 25o 20' ehk üle 2800 km haaraval kaarel 1816-1855 toimunud ettevõtmise peaosaliseks oli Tartu Observatooriumi ja Pulkovo observatooriumi ( alates 1839 ) direktor Friedrich Georg Willhelm Struve ( 1793-1864 ) .;0;23;Neist kraadimõõtmistest;redundant comma;yes;free;suurima , 25o 20' ehk üle 2800 km haaraval kaarel 1816-1855 toimunud ettevõtmise peaosaliseks oli Tartu Observatooriumi ja Pulkovo observatooriumi ( alates 1839 ) direktor Friedrich Georg Willhelm Struve ( 1793-1864 ) .;6.1;27.3;21.2
3217;Train/tea_toohoive.conllu;Nagu alljärgnevast tabelist näha , on nende puhul , kes kursustel osalevad , kõige tõenäolisem osavõtt suhteliselt lühiajalistest - kuni ühekuulistest kursustest .;56;65;kursustel;bound;yes;free;Nagu alljärgnevast tabelist näha , on nende puhul , kes osalevad , kõige tõenäolisem osavõtt suhteliselt lühiajalistest - kuni ühekuulistest kursustest .;95.5;95.5;95.5
3218;Train/aja_ee199920_osa_2_ud211.conllu;Ivo * on laskunud mööda köit pea ees Viru hotelli katuselt alla .;29;36;pea ees;free;yes;free;Ivo * on laskunud mööda köit Viru hotelli katuselt alla .;81.8;100.0;81.8
3219;Dev/aja_ee199920_osa4_ud211.conllu;Norra kuninga nö riigiusku alamad ummistasid tänavaid , ülempreester seisis oma lossi rõdul ja imelik hakkas sellel , kellel ei olnud käes Norra lipukest .;76;91;oma lossi rõdul;bound;yes;free;Norra kuninga nö riigiusku alamad ummistasid tänavaid , ülempreester seisis ja imelik hakkas sellel , kellel ei olnud käes Norra lipukest .;68.2;81.8;81.8
3220;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;Kõige sagedamini esineb meestel sugukromosoomide arvuanomaaliaid ( 3,7 % ) , kuid sagedased on ka autosoomide struktuurianomaaliad ( 2,4 % ) ( 4 - 6 ) .;24;31;meestel;bound;yes;free;Kõige sagedamini esineb sugukromosoomide arvuanomaaliaid ( 3,7 % ) , kuid sagedased on ka autosoomide struktuurianomaaliad ( 2,4 % ) ( 4 - 6 ) .;;;
3221;Train/aja_horisont2000_osa_1_ud211.conllu;Sattunud seal paikneva monstrumi lähedusse on neil ikka mingi hoog sees ja nad ei kuku auku otse , vaid jäävad tiirlema selle ümber ning moodustavad akretsiooniketta .;120;131;selle ümber;bound;yes;free;Sattunud seal paikneva monstrumi lähedusse on neil ikka mingi hoog sees ja nad ei kuku auku otse , vaid jäävad tiirlema ning moodustavad akretsiooniketta .;96.0;100.0;96.0
3222;Train/aja_pm20001004_osa_3_ud211.conllu;Venemaalt emigreerunud Tatjana Grigorjeva püstitas teivashüppes kaks isiklikku tippmarki ja teenis hõbemedaliomanikuna sama tugeva aplausi kui Freeman .;51;63;teivashüppes;free;yes;free;Venemaalt emigreerunud Tatjana Grigorjeva püstitas kaks isiklikku tippmarki ja teenis hõbemedaliomanikuna sama tugeva aplausi kui Freeman .;88.2;100.0;88.2
3223;Train/aja_luup200106_osa_4_ud211.conllu;Agressiivsuse test aitab jälle mõõta , kui palju viha on kellessegi peidetud .;57;67;kellessegi;bound;yes;free;Agressiivsuse test aitab jälle mõõta , kui palju viha on peidetud .;58.3;66.7;91.7
3224;Train/aja_sloleht20071217_ud211.conllu;Porkuni kooli õpetaja Tiiu Jaansoo päästis langetõvehoo tõttu järve kukkunud koolipoisi elu .;43;61;langetõvehoo tõttu;free;yes;free;Porkuni kooli õpetaja Tiiu Jaansoo päästis järve kukkunud koolipoisi elu .;90.9;100.0;90.9
3225;Train/aja_epl20061216_ud211.conllu;Kuigi Euroopa Liidu liidrid rääkisid kohtumise käigus uuest konsensusest , lepiti laienemise suhtes sisuliselt kokku , et eriarvamused püsivad .;82;99;laienemise suhtes;free;yes;free;Kuigi Euroopa Liidu liidrid rääkisid kohtumise käigus uuest konsensusest , lepiti sisuliselt kokku , et eriarvamused püsivad .;100.0;100.0;100.0
3226;Train/ilu_remsu_ud211.conllu;Euroopasse jõudis Hiina siid 2. sajandil pärast Kristust , läks veel mõnisada aastat ning araablaste kaudu jõudsid Euroopasse siidiussid ning oskus neid kasvatada .;115;125;Euroopasse;free;yes;free;Euroopasse jõudis Hiina siid 2. sajandil pärast Kristust , läks veel mõnisada aastat ning araablaste kaudu jõudsid siidiussid ning oskus neid kasvatada .;91.3;91.3;95.7
3227;Train/tea_toohoive.conllu;Lisas 1 on toodud olulisimad tabelid teksti täienduseks , lisas 2 on esitatud ettevõtete andmete valim ja analüüsi metoodika .;58;65;lisas 2;bound;yes;free;Lisas 1 on toodud olulisimad tabelid teksti täienduseks , on esitatud ettevõtete andmete valim ja analüüsi metoodika .;94.4;94.4;94.4
3228;Train/aja_pm19980926e_ud211.conllu;Erandina tunti tänase maailmakuulsa sherry eelkäijat Inglismaal sack'i nime all väga hästi juba Shakes-peare'i päevil .;53;63;Inglismaal;bound;yes;free;Erandina tunti tänase maailmakuulsa sherry eelkäijat sack'i nime all väga hästi juba Shakes-peare'i päevil .;86.7;93.3;86.7
3229;Dev/aja_luup200009_ud211.conllu;Ei varja , et tahtis saada kangelaseks ja Eesti parimaks mehhanisaatoriks .;42;47;Eesti;free;yes;free;Ei varja , et tahtis saada kangelaseks ja parimaks mehhanisaatoriks .;100.0;100.0;100.0
3230;Train/ilu_kanep_ud211.conllu;Meenub , kuidas Aapo teatas , et sõidab aferistiga diagonaalis läbi Eestis .;40;50;aferistiga;free;yes;free;Meenub , kuidas Aapo teatas , et sõidab diagonaalis läbi Eestis .;100.0;100.0;100.0
3231;Dev/aja_luup200009_ud211.conllu;1980ndate lõpust osalesin tudengite majandusõpikute tõlkimises .;0;16;1980ndate lõpust;free;yes;free;osalesin tudengite majandusõpikute tõlkimises .;100.0;100.0;100.0
3232;Train/ilu_remsu_ud211.conllu;"Lennujaama meeneletist ostsin brošüüri "" Xinjiang in brief "" ( "" Lühidalt Xinjiangist "" ) ja lugesin , et Ürümchi lennuväli on suuruselt Hiinas viies ning see on reservlennuväljaks Euroopast Pekingisse lendavatele hiidlennukitele .";181;190;Euroopast;bound;yes;free;"Lennujaama meeneletist ostsin brošüüri "" Xinjiang in brief "" ( "" Lühidalt Xinjiangist "" ) ja lugesin , et Ürümchi lennuväli on suuruselt Hiinas viies ning see on reservlennuväljaks Pekingisse lendavatele hiidlennukitele .";93.9;97.0;97.0
3233;Train/tea_dr8047.conllu;Seetõttu , et vutti tuntakse peale munade ja liha tootjana ka laboratoorsete katsete linnuna , kellel on palju ühist kanade seedefüsioloogia ja ainevahetusega , alustatigi antud uurimistööd katsetega vutimunade rikastamiseks ω-3-rasvhapetega .;190;241;katsetega vutimunade rikastamiseks ω-3-rasvhapetega;free;yes;free;Seetõttu , et vutti tuntakse peale munade ja liha tootjana ka laboratoorsete katsete linnuna , kellel on palju ühist kanade seedefüsioloogia ja ainevahetusega , alustatigi antud uurimistööd .;89.3;100.0;89.3
3234;Train/arborest_ud211.conllu;Peeter jooksis toast koridori ust avama .;15;20;toast;free;yes;free;Peeter jooksis koridori ust avama .;100.0;100.0;100.0
3235;Train/aja_ml200247_osa_3_ud211.conllu;Mihkelson oleks eelistanud arengukavaga veel venitada , kaasata selle ettevalmistamisse rohkem asjaga kursis olevaid inimesi .;95;101;asjaga;free;yes;free;Mihkelson oleks eelistanud arengukavaga veel venitada , kaasata selle ettevalmistamisse rohkem kursis olevaid inimesi .;100.0;100.0;100.0
3236;Train/aja_luup200106_osa_2_ud211.conllu;Eesti kommud ei tulnud 1940. aastal võimule iseenda poliitilise võitluse tulemusena .;23;35;1940. aastal;free;yes;free;Eesti kommud ei tulnud võimule iseenda poliitilise võitluse tulemusena .;100.0;100.0;100.0
3237;Train/aja_horisont2000_osa_4_ud211.conllu;Praeguseks on kliinikus välja peilitud , missugune see peab olema 10-20-aastastel , 20-30aastastel jne .;99;102;jne;free;yes;free;Praeguseks on kliinikus välja peilitud , missugune see peab olema 10-20-aastastel , 20-30aastastel .;100.0;100.0;100.0
3238;Train/tea_AA_05_6_ud211.conllu;turu dünaamilist iseloomu ja organisatsioonide vajadust adapteeruda pidevalt muutuvate tingimustega;68;99;pidevalt muutuvate tingimustega;bound;yes;free;turu dünaamilist iseloomu ja organisatsioonide vajadust adapteeruda ;100.0;100.0;100.0
3239;Train/tea_AA_05_6_ud211.conllu;Kõrge usaldatavusega andmeid leviedastatakse teistele protsessorüksustele viivitusteta , ja kui peakski selguma edastatud andmete kehtetus , siis teavitatakse sellest kohe .;45;73;teistele protsessorüksustele;free;yes;free;Kõrge usaldatavusega andmeid leviedastatakse viivitusteta , ja kui peakski selguma edastatud andmete kehtetus , siis teavitatakse sellest kohe .;94.7;94.7;100.0
3240;Train/aja_pm20000218_osa_5_ud211.conllu;Hiljem kirjutas kohusetundlik julgeolekutöötaja toimikusse märkuse : koer lasti vabaks ja praeguseni on meil tema asukoht teadmata .;104;108;meil;free;yes;free;Hiljem kirjutas kohusetundlik julgeolekutöötaja toimikusse märkuse : koer lasti vabaks ja praeguseni on tema asukoht teadmata .;100.0;100.0;100.0
3241;Train/aja_pm20000218_osa_5_ud211.conllu;“ Seda , kui priske arve välisministeeriumile remondi eest välja kirjutatakse , on veel vara öelda , kuid kindlasti ulatub see kümnetesse tuhandetesse , ” öeldi eile Postimehele .;166;177;Postimehele;free;yes;free;“ Seda , kui priske arve välisministeeriumile remondi eest välja kirjutatakse , on veel vara öelda , kuid kindlasti ulatub see kümnetesse tuhandetesse , ” öeldi eile .;75.0;78.6;82.1
3242;Train/ilu_valton_ud211.conllu;Võibolla ei tea seda tänapäeval isegi kõik maalapsed , sest leiba ostetakse poest ja mõhku pole tarvis , see vedeleb pööningul või rehetoas kolu hulgas .;76;81;poest;free;yes;free;Võibolla ei tea seda tänapäeval isegi kõik maalapsed , sest leiba ostetakse ja mõhku pole tarvis , see vedeleb pööningul või rehetoas kolu hulgas .;92.0;92.0;100.0
3243;Train/aja_sloleht20071217_ud211.conllu;Siis tee 10 minutit venitusharjutusi jooksu põhiraskust kandvatele lihastele .;9;19;10 minutit;free;yes;free;Siis tee venitusharjutusi jooksu põhiraskust kandvatele lihastele .;100.0;100.0;100.0
3244;Train/aja_horisont2000_osa_1_ud211.conllu;Septembris 1872 toimus Berliinis kolme riigi keisrite esimene kohtumine .;23;32;Berliinis;free;yes;free;Septembris 1872 toimus kolme riigi keisrite esimene kohtumine .;100.0;100.0;100.0
3245;Train/aja_epl20061216_ud211.conllu;Pärnu ilmajaama juhataja Marika Rokki andmetel mõõdeti ööl vastu eilset õhutemperatuuriks 10,3 kraadi .;55;71;ööl vastu eilset;free;yes;free;Pärnu ilmajaama juhataja Marika Rokki andmetel mõõdeti õhutemperatuuriks 10,3 kraadi .;100.0;100.0;100.0
3246;Train/aja_ee200110_osa_8_ud211.conllu;""" Paraku kipuvad isegi kõige markantsemad sündmused inimestel kaheksa aastaga meelest minema .";52;61;inimestel;free;yes;free;""" Paraku kipuvad isegi kõige markantsemad sündmused kaheksa aastaga meelest minema .";91.7;91.7;91.7
3247;Dev/ilu_orlau_ud211.conllu;Kord nägin , kuidas välk lõi metsalagendikul seisvasse tamme , mis sealsamas paigas leegimöllus ragisedes maha põles .;29;116;metsalagendikul seisvasse tamme , mis sealsamas paigas leegimöllus ragisedes maha põles;bound;yes;free;Kord nägin , kuidas välk lõi .;100.0;100.0;100.0
3248;Train/tea_toohoive.conllu;( Iiri näite puhul õnnestusid need eesmärgid saavutada küllalt lühikese aja jooksul ja seejärel hakkas palk koos tootluse tõusu ja majanduskasvuga uuesti tõusma . );55;83;küllalt lühikese aja jooksul;free;yes;free;( Iiri näite puhul õnnestusid need eesmärgid saavutada ja seejärel hakkas palk koos tootluse tõusu ja majanduskasvuga uuesti tõusma . );90.5;90.5;95.2
3249;Train/ilu_valton_ud211.conllu;Võibolla ei tea seda tänapäeval isegi kõik maalapsed , sest leiba ostetakse poest ja mõhku pole tarvis , see vedeleb pööningul või rehetoas kolu hulgas .;21;31;tänapäeval;free;yes;free;Võibolla ei tea seda isegi kõik maalapsed , sest leiba ostetakse poest ja mõhku pole tarvis , see vedeleb pööningul või rehetoas kolu hulgas .;92.0;92.0;100.0
3250;Train/aja_pm20001004_osa_2_ud211.conllu;"19. septembril sattus pihku Postimehe lugu "" Riik peab ülal 210 koera "" .";0;14;19. septembril;free;yes;free;"sattus pihku Postimehe lugu "" Riik peab ülal 210 koera "" .";91.7;100.0;91.7
3251;Train/aja_ml200247_osa_2_ud211.conllu;Eesti saatkond Saksamaal alustas tegevust Bonnis aastal 1991 ja kolis Berliini aastal 1999 .;49;60;aastal 1991;bound;yes;free;Eesti saatkond Saksamaal alustas tegevust Bonnis ja kolis Berliini aastal 1999 .;;;
3252;Train/arborest_ud211.conllu;Muide , viis kuud hiljem George Bushi juurde visiiti kavandades mängis Lennart Arnoldile ninanipsu sellega , et ülemnõukogu presiidiumi esimees ei teadnud täpset päeva , millal välisminister annab talle korralduse lennukisse astuda .;197;202;talle;free;yes;free;Muide , viis kuud hiljem George Bushi juurde visiiti kavandades mängis Lennart Arnoldile ninanipsu sellega , et ülemnõukogu presiidiumi esimees ei teadnud täpset päeva , millal välisminister annab korralduse lennukisse astuda .;84.4;90.6;90.6
3253;Train/aja_pm20001004_osa_4_ud211.conllu;""" Eks see kõik ole nüüd veninud ja viibinud ja kui alguses arvasime , et saame septembri lõpuks laeva sinna sisse , siis , kui nüüd ilm kah ära keerab , tuleb meil Suur Tõll ajutiselt viia Hundipea sadama väliskai äärest Paljassaare sadamasse . """;159;163;meil;free;yes;free;""" Eks see kõik ole nüüd veninud ja viibinud ja kui alguses arvasime , et saame septembri lõpuks laeva sinna sisse , siis , kui nüüd ilm kah ära keerab , tuleb Suur Tõll ajutiselt viia Hundipea sadama väliskai äärest Paljassaare sadamasse . """;79.5;84.1;84.1
3254;Train/arborest_ud211.conllu;Rott ronis otse mööda mu kirjutuslaua taha jäävat toanurka üles lae alla .;11;58;otse mööda mu kirjutuslaua taha jäävat toanurka;free;yes;free;Rott ronis üles lae alla .;100.0;100.0;100.0
3255;Train/aja_ml200247_osa_3_ud211.conllu;Mihkelson oleks eelistanud arengukavaga veel venitada , kaasata selle ettevalmistamisse rohkem asjaga kursis olevaid inimesi .;64;87;selle ettevalmistamisse;free;yes;free;Mihkelson oleks eelistanud arengukavaga veel venitada , kaasata rohkem asjaga kursis olevaid inimesi .;92.9;92.9;92.9
3256;Train/arborest_ud211.conllu;Seejärel ujusin Vaikses ookeanis kolmandat korda elus .;33;53;kolmandat korda elus;free;yes;free;Seejärel ujusin Vaikses ookeanis .;100.0;100.0;100.0
3257;Train/tea_AA_05_6_ud211.conllu;Kui NOR-tüüpi välkmäluelemendis osaleb informatsiooni salvestusprotsessides tuhandeid elektrone , siis NROM vajab vaid paarisada elektroni , seega saab vähendada mälulülituse energiatarvet ja tõsta töökiirust .;39;75;informatsiooni salvestusprotsessides;bound;yes;free;Kui NOR-tüüpi välkmäluelemendis osaleb tuhandeid elektrone , siis NROM vajab vaid paarisada elektroni , seega saab vähendada mälulülituse energiatarvet ja tõsta töökiirust .;73.9;73.9;91.3
3258;Dev/aja_luup200009_ud211.conllu;Seawolfi vastased , kes on mitmeid kordi üritanud projekti takistada , on väitnud , et sellist allveelaeva pole enam vaja , kuna külm sõda on läbi ja tulevikus tekivad konfliktid madalas vees ja kalda lähedal .;27;40;mitmeid kordi;free;yes;free;Seawolfi vastased , kes on üritanud projekti takistada , on väitnud , et sellist allveelaeva pole enam vaja , kuna külm sõda on läbi ja tulevikus tekivad konfliktid madalas vees ja kalda lähedal .;94.1;94.1;97.1
3259;Train/aja_pm20001004_osa_2_ud211.conllu;Rootsi-Vene sõja ajal ( 1656-1661 ) , kui ülikoolis katkes õppetöö , olid ülikooli trükikoja seadmed ja raamatud sissemüürituna peidus Maarja kirikus altari läheduses .;42;51;ülikoolis;free;yes;free;Rootsi-Vene sõja ajal ( 1656-1661 ) , kui katkes õppetöö , olid ülikooli trükikoja seadmed ja raamatud sissemüürituna peidus Maarja kirikus altari läheduses .;20.8;37.5;29.2
3260;Train/aja_pm20001004_osa_3_ud211.conllu;Pankrotimenetluses Valga Külmutusvagunite Depoo teenib suurema lepingumahu põhjal tehtud arvutuste kohaselt ühe vaguni müümisega Venemaa raudteekompaniile Resbalt 30 090 krooni , teise , Eesti Raudtee käsutuses oleva koopia andmetel aga vaid 9989 krooni .;108;162;ühe vaguni müümisega Venemaa raudteekompaniile Resbalt;free;yes;free;Pankrotimenetluses Valga Külmutusvagunite Depoo teenib suurema lepingumahu põhjal tehtud arvutuste kohaselt 30 090 krooni , teise , Eesti Raudtee käsutuses oleva koopia andmetel aga vaid 9989 krooni .;;;
3261;Train/aja_ee200110_osa_8_ud211.conllu;Erilisi intsidente nende karmide meeste vahel ei toimunud .;19;45;nende karmide meeste vahel;free;yes;free;Erilisi intsidente ei toimunud .;100.0;100.0;100.0
3262;Train/aja_epl20061216_ud211.conllu;Kui 10 km vaheajapunktis võis veel nentida , et viienda kümne kandis edasi liikunud Rehemaa ja Mae olid veel suures grupis sees , siis 5 km hiljem see enam nii ei olnud .;135;139;5 km;free;yes;free;Kui 10 km vaheajapunktis võis veel nentida , et viienda kümne kandis edasi liikunud Rehemaa ja Mae olid veel suures grupis sees , siis hiljem see enam nii ei olnud .;93.5;96.8;96.8
3263;Train/aja_pm20001004_osa_2_ud211.conllu;Seal ühes ärihoovis olid noorelt mehelt ära võetud nahktagi ja käekell .;5;19;ühes ärihoovis;free;yes;free;Seal olid noorelt mehelt ära võetud nahktagi ja käekell .;100.0;100.0;100.0
3264;Train/ilu_kanep_ud211.conllu;"Ma ise põhimõtteliselt hea meelega väldiksin selle küsimuse küsimist ; õigupoolest olen juba ammu otsustanud , et ei küsi seda teistelt , kuna niikuinii nad ei mõista miskit mõistlikku kosta , aga olen ma jee ülejäänud inimestest parem , elik siis kuidas sul endal läheb ? """;23;34;hea meelega;free;yes;free;"Ma ise põhimõtteliselt väldiksin selle küsimuse küsimist ; õigupoolest olen juba ammu otsustanud , et ei küsi seda teistelt , kuna niikuinii nad ei mõista miskit mõistlikku kosta , aga olen ma jee ülejäänud inimestest parem , elik siis kuidas sul endal läheb ? """;95.6;97.8;97.8
3265;Train/aja_ee199920_osa_2_ud211.conllu;Vene noored naudivad õppimist eesti koolis ega muretse tuleviku pärast rahvuste vahelistes suhetes .;55;98;tuleviku pärast rahvuste vahelistes suhetes;bound;yes;free;Vene noored naudivad õppimist eesti koolis ega muretse .;88.9;100.0;88.9
3266;Train/aja_luup200202_osa_3_ud211.conllu;Rahaturgude muutlikkus ja ebaefektiivsus on võimaldanud nende maade kommertspankadel teenida hiigelkasumeid , poliitilise võimu ladvik aga on võtnud altkäemakse ja saanud muid tulusid nii ettevõtetelt kui eraisikutelt .;56;84;nende maade kommertspankadel;bound;yes;free;Rahaturgude muutlikkus ja ebaefektiivsus on võimaldanud teenida hiigelkasumeid , poliitilise võimu ladvik aga on võtnud altkäemakse ja saanud muid tulusid nii ettevõtetelt kui eraisikutelt .;100.0;100.0;100.0
3267;Train/aja_pm20001004_osa_1_ud211.conllu;Esimene teade põlengust saabus häirekeskusesse esmaspäeva öösel kell 2.31 .;64;73;kell 2.31;free;yes;free;Esimene teade põlengust saabus häirekeskusesse esmaspäeva öösel .;62.5;87.5;62.5
3268;Train/aja_epl20061216_ud211.conllu;Võib-olla on ka meie lumine kaunitar pannud Savisaare hinges mängima kaua vakka olnud viiulid ?;44;60;Savisaare hinges;free;yes;free;Võib-olla on ka meie lumine kaunitar pannud mängima kaua vakka olnud viiulid ?;76.9;76.9;84.6
3269;Train/tea_toohoive.conllu;Pööre Hollandi tööjõuturul algas Wassenaari lepinguga aastal 1982 , millega limiteeriti palgakasv , kitsendati töötu abirahasid ja eemaldati osalise tööaja barjäärid .;54;65;aastal 1982;free;yes;free;Pööre Hollandi tööjõuturul algas Wassenaari lepinguga , millega limiteeriti palgakasv , kitsendati töötu abirahasid ja eemaldati osalise tööaja barjäärid .;95.0;95.0;100.0
3270;Train/ilu_kivirahk_ud211.conllu;Pigem raiun ma selle elaja tükkideks , võtan tema kareda naha enesele kuueks ja rändan edasi jala , komberdades saua najal nagu vaene erak , kuni kukun ja suren !;70;76;kuueks;free;yes;free;Pigem raiun ma selle elaja tükkideks , võtan tema kareda naha enesele ja rändan edasi jala , komberdades saua najal nagu vaene erak , kuni kukun ja suren !;93.1;93.1;100.0
3271;Train/aja_pm19980926e_ud211.conllu;Täna valitseb Miguel A. Torres lausa veiniimpeeriumi , mis ulatub Katalooniast Californiasse Sonoma orgu ning Tsiilisse .;79;92;Californiasse;free;yes;free;Täna valitseb Miguel A. Torres lausa veiniimpeeriumi , mis ulatub Katalooniast Sonoma orgu ning Tsiilisse .;;;
3272;Train/arborest_ud211.conllu;Ta tõukas Lamontit kilbiga .;19;26;kilbiga;free;yes;free;Ta tõukas Lamontit .;100.0;100.0;100.0
3273;Train/tea_toohoive.conllu;Jälgides tööturu põhitrendide - tööhõive , mitteaktiivsuse ja tööpuuduse - dünaamikat 1990-2002 , võib tinglikult eristada kolme perioodi , millel on eeldatavalt erinev (makro)majanduslik kontekst , st tööturul toimunud peamisi muutusi juhtinud majanduslikud mehhanismid on erinevad :;202;210;tööturul;bound;yes;free;Jälgides tööturu põhitrendide - tööhõive , mitteaktiivsuse ja tööpuuduse - dünaamikat 1990-2002 , võib tinglikult eristada kolme perioodi , millel on eeldatavalt erinev (makro)majanduslik kontekst , st toimunud peamisi muutusi juhtinud majanduslikud mehhanismid on erinevad :;30.6;47.2;38.9
3274;Train/aja_ee199920_osa_2_ud211.conllu;""" Aprillis oli meie poja sünnipäev -- Hillar oli kingid ostnud , need saadi autost kätte , aga et ta ise ennast varjab , ei ole isegi ideena usutav . """;128;140;isegi ideena;free;yes;free;""" Aprillis oli meie poja sünnipäev -- Hillar oli kingid ostnud , need saadi autost kätte , aga et ta ise ennast varjab , ei ole usutav . """;93.1;96.6;96.6
3275;Train/tea_AA_05_6_ud211.conllu;Programmi töötluse korraldamisel multiskalaarses protsessoris tuleb arvestada asjaoluga , et liikumine CFGs toimub spekulatiivselt , s.t üksikute tegumsammudena ( task-sized step ) ilma peatusteta selleks , et lähemalt analüüsida tegumi üksikuid käske .;181;196;ilma peatusteta;bound;yes;free;Programmi töötluse korraldamisel multiskalaarses protsessoris tuleb arvestada asjaoluga , et liikumine CFGs toimub spekulatiivselt , s.t üksikute tegumsammudena ( task-sized step ) selleks , et lähemalt analüüsida tegumi üksikuid käske .;90.3;93.5;93.5
3276;Dev/ilu_orlau_ud211.conllu;Otse sealsamas üle oja .;15;22;üle oja;free;yes;free;Otse sealsamas .;100.0;100.0;100.0
3277;Train/aja_ee199920_osa_2_ud211.conllu;Valitsused üldiselt ongi nn laisaks kliendiks .;25;27;nn;free;yes;free;Valitsused üldiselt ongi laisaks kliendiks .;100.0;100.0;100.0
3278;Train/aja_ee199920_osa_1_ud211.conllu;Tänavu 1. märtsil said põllumehed lehmatoetuse kätte .;7;17;1. märtsil;free;yes;free;Tänavu said põllumehed lehmatoetuse kätte .;66.7;83.3;66.7
3279;Train/tea_dr8047.conllu;ω-3- ja ω-6-rasvhapete osatähtsust võitluses südamehaigustega ja nende mõju vere kolesteroolisisaldusele on tänapäeval uurinud paljud teadlased .;108;118;tänapäeval;free;yes;free;ω-3- ja ω-6-rasvhapete osatähtsust võitluses südamehaigustega ja nende mõju vere kolesteroolisisaldusele on uurinud paljud teadlased .;6.2;6.2;12.5
3280;Dev/aja_luup200009_ud211.conllu;USA Filmitöösturite Assotsiatsioon ( Motion Picture Association of America - MPAA ) algatas DVD senise turusüsteemi kaitseks mitu kohtuasja .;92;124;DVD senise turusüsteemi kaitseks;free;yes;free;USA Filmitöösturite Assotsiatsioon ( Motion Picture Association of America - MPAA ) algatas mitu kohtuasja .;100.0;100.0;100.0
3281;Train/aja_pm19980926e_ud211.conllu;Neist vägevaim on gripp .;0;5;Neist;free;yes;free;vägevaim on gripp .;100.0;100.0;100.0
3282;Train/aja_sloleht20071217_ud211.conllu;Kes pesu- ja tantsuvooruga rahvalt suurima kisakoori välja meelitas , sai ka ihaldatud klubitüdruku tiitli .;27;34;rahvalt;free;yes;free;Kes pesu- ja tantsuvooruga suurima kisakoori välja meelitas , sai ka ihaldatud klubitüdruku tiitli .;93.3;93.3;100.0
3283;Train/aja_ee200110_osa_7_ud211.conllu;Aga ilmselt hakkab meilgi osalt tööle ameerikalik stsenaarium , et mees ja naine käivad koos ülikoolis , aga pärast läheb mees tööle ja naine jääb koju !;19;25;meilgi;free;yes;free;Aga ilmselt hakkab osalt tööle ameerikalik stsenaarium , et mees ja naine käivad koos ülikoolis , aga pärast läheb mees tööle ja naine jääb koju !;96.2;96.2;96.2
3284;Train/aja_ee199920_osa_1_ud211.conllu;Kaanel olev hr HS lubas endale kahemõttelisusi , millest noor ajakirjanik luges välja selgeid ähvardusi oma lähedaste aadressil .;104;127;oma lähedaste aadressil;free;yes;free;Kaanel olev hr HS lubas endale kahemõttelisusi , millest noor ajakirjanik luges välja selgeid ähvardusi .;93.8;100.0;93.8
3285;Train/tea_toohoive.conllu;Traditsiooniline Iiri sotsiaaltoetuste süsteem rakendus töötutele ilma maksimumkestvuseta .;56;65;töötutele;bound;yes;free;Traditsiooniline Iiri sotsiaaltoetuste süsteem rakendus ilma maksimumkestvuseta .;87.5;87.5;100.0
3286;Train/ilu_valton_ud211.conllu;Mõned kanad ei läinud esmalt õue maailma uurima , vaid komberdasid unise peaga , vaevalt õrrelt alla saanud , vineeri juurde ja puhastasid kõik ära , mis õhtust järele oli jäänud .;67;78;unise peaga;free;yes;free;Mõned kanad ei läinud esmalt õue maailma uurima , vaid komberdasid , vaevalt õrrelt alla saanud , vineeri juurde ja puhastasid kõik ära , mis õhtust järele oli jäänud .;86.7;90.0;93.3
3287;Train/aja_sloleht20071217_ud211.conllu;Treeningu lõpus ei tohi unustada lõdvestusharjutusi , mille mõte on venitada pingsa töö tõttu lühenenud ning kangeks jäänud sääre- , reie- , tuhara- , selja- ja turjalihaseid .;77;93;pingsa töö tõttu;free;yes;free;Treeningu lõpus ei tohi unustada lõdvestusharjutusi , mille mõte on venitada lühenenud ning kangeks jäänud sääre- , reie- , tuhara- , selja- ja turjalihaseid .;100.0;100.0;100.0
